state_clean,year,month,total_enrolment,total_demo_updates,total_identity_activity,update_to_enrolment_ratio,lifecycle_dominance_index,governance_phase,age_0_5,age_5_17,age_18_greater,child_share,adult_share,saturation_index,future_update_pressure_enrol,mom_growth,enrolment_volatility,enrolment_lifecycle_index,rolling_enrolment_trend,age_shift_momentum_enrol,coverage_inequality_index,z_score,demo_age_5_17,demo_age_17_,youth_update_share,adult_update_share,update_saturation_index,future_update_pressure_demo,mom_update_growth,rolling_update_momentum,demographic_update_volatility,update_lifecycle_index,governance_load_index,age_shift_momentum_demo,update_zscore,is_anomaly,norm_saturation,norm_lifecycle,norm_volatility,governance_risk_score,policy_action,governance_quadrant
Andaman And Nicobar Islands,2025,9,145,618,763,4.2620689655172415,4.2620689655172415,Lifecycle Transition Phase,133,12,0,1.0,0.0,,1.0,,,1.7777777777777777,,,13.228228245962724,-0.5891785338591431,56,562,0.0906148867313915,0.9093851132686084,0.4753846153846154,309.17333333333335,1.8219178082191785,589.3333333333334,356.8645868299814,0.8187702265372169,0.4101246617196691,506,-0.3126921913133828,False,0.4733398113372348,0.7567133018417395,0.0003208719800332,1.283694362484538,Routine Monitoring,Maintenance Mode
Andaman And Nicobar Islands,2025,10,60,453,513,7.55,7.55,Lifecycle Transition Phase,52,8,0,1.0,0.0,,1.0,-58.62068965517242,,1.1851851851851851,,0.0,13.228228245962724,-0.5917350683593368,58,395,0.1280353200883002,0.8719646799116998,0.3484615384615385,280.16153846153844,-0.2669902912621359,430.0,299.24613614882315,0.7439293598233996,0.3195275028008745,337,-0.7390906340134503,False,0.3459220237575335,0.6123934465472213,0.0002670380978687,1.2667384608875565,Routine Monitoring,Maintenance Mode
Andaman And Nicobar Islands,2025,11,88,913,1001,10.375,10.375,Lifecycle Transition Phase,85,3,0,1.0,0.0,,1.0,46.66666666666666,43.31666346030513,0.4444444444444444,97.66666666666669,0.0,13.228228245962724,-0.5908929158180964,104,809,0.1139101861993428,0.8860898138006572,0.7023076923076923,196.87384615384616,1.0154525386313464,661.3333333333334,304.5623088958974,0.7721796276013143,0.4560964679507093,705,0.4496565395746166,False,0.7011473709494279,0.6668700278157186,0.0002720050869815,0.9659946619532722,Routine Monitoring,Maintenance Mode
Andaman And Nicobar Islands,2025,12,97,1300,1397,13.402061855670103,13.402061855670103,Lifecycle Transition Phase,93,4,0,1.0,0.0,,1.0,10.22727272727273,19.29594085120841,0.5925925925925926,81.66666666666667,0.0,13.228228245962724,-0.5906222239298407,119,1181,0.0915384615384615,0.9084615384615384,1.0,0.0,0.4238773274917853,888.6666666666666,386.9620136395819,0.816923076923077,0.5845001105977796,1062,1.4497547051802293,False,1.0,0.7531513392840453,0.0003489925092937,0.7535003317933391,Stable,Maintenance Mode
Andhra Pradesh,2025,3,116,370695,370811,3195.646551724138,3195.646551724138,Fully Saturated – Maintenance Phase,43,44,29,0.75,0.25,1.0,0.75,,,0.0229610854331295,,,13.228228245962724,-0.5900507632768562,34912,335783,0.0941798513602827,0.9058201486397172,1.0,0.0,,370695.0,,0.8116402972794345,,300871,1.506495958466973,False,1.0,0.742964257984751,,,Stable,Maintenance Mode
Andhra Pradesh,2025,6,1574,81181,82755,51.57623888182973,51.57623888182973,Lifecycle Transition Phase,928,433,213,0.8646759847522236,0.1353240152477763,0.5412960609911055,0.8646759847522236,1256.896551724138,,0.225957954376025,,-0.1146759847522236,13.228228245962724,-0.546198677379418,14158,67023,0.1744004138899496,0.8255995861100504,0.2189967493491954,53294.36015232648,-0.1389189418528182,68238.33333333333,153812.90104214277,0.6511991722201007,0.2644088791805594,52865,-0.8105661491235271,False,0.2159526171053058,0.433576606978595,0.1436974134577771,1.3613214033310663,Routine Monitoring,Update Infra Gap
Andhra Pradesh,2025,7,956,57259,58215,59.89435146443515,59.89435146443515,Lifecycle Transition Phase,473,372,111,0.8838912133891214,0.1161087866108786,0.4644351464435146,0.8838912133891214,-39.263024142312574,731.8114511265863,0.1941255404800954,882.0,-0.0192152286368977,13.228228245962724,-0.564786187039649,8413,48846,0.1469288670776646,0.8530711329223354,0.1544639123807982,65590.4890795218,-0.2946748623446372,77572.66666666667,138720.91855124087,0.7061422658446707,0.2734304791902461,40433,-1.0020206547356216,False,0.1511682491866322,0.5395264665874114,0.1295967217966948,1.517954939197474,Capacity Expansion,Update Infra Gap
Andhra Pradesh,2025,9,40355,214466,254821,5.31448395490026,5.31448395490026,Coverage Expansion Phase,34939,5037,379,0.9906083508858876,0.0093916491141122,0.037566596456449,0.9906083508858876,4121.234309623431,22570.737271963448,2.6285224392425826,14295.0,-0.1067171374967664,13.228228245962724,0.6202126691147882,20202,194264,0.094196749135061,0.905803250864939,0.5785510999608843,49577.281839068055,2.745542185507955,117635.33333333331,129164.52000362432,0.8116065017298779,0.4801585056468839,174062,0.2561512566330159,False,0.576908410017287,0.7428990881245426,0.1206680187988221,1.2866586969060778,Routine Monitoring,Transition Risk
Andhra Pradesh,2025,10,24567,182376,206943,7.423617047258517,7.423617047258517,Coverage Expansion Phase,21562,2883,122,0.995033988684007,0.0049660113159929,0.0198640452639719,0.995033988684007,-39.12278528063437,19828.520981992915,1.5044729387207396,21959.33333333333,-0.0044256377981192,13.228228245962724,0.1453589433611839,33418,148958,0.1832368294073781,0.8167631705926218,0.4919839760449965,76896.861497997,-0.1496274467747801,151367.0,72842.45952922422,0.6335263411852436,0.3191821132084341,115540,-0.000674054172607,False,0.4900038716630425,0.3994970922751107,0.068045375687149,0.9775385962992172,Routine Monitoring,Expansion Phase
Andhra Pradesh,2025,11,33779,289285,323064,8.564048669291571,8.564048669291571,Coverage Expansion Phase,30114,3285,380,0.9887504070576394,0.0112495929423606,0.0449983717694425,0.9887504070576394,37.49745593682583,7930.591234790338,1.7142537647234233,32900.333333333336,0.0062835816263676,13.228228245962724,0.4224271294292231,53248,236037,0.1840676149817653,0.8159323850182346,0.7803854921161602,50227.81448360513,0.5862010352239331,228709.0,90539.5845791589,0.6318647700364692,0.4201341943049473,182789,0.8549487925995448,False,0.7795294961851342,0.3962929911164533,0.0845800956132542,0.7013435905445733,Stable,Transition Risk
